,Text,Sentiment,Sentiment_label
0,""" I don't care what anyone says, I like Hillary Clinton.",Neutral,1
1,have an awesome time at purdue!..,Positive,2
2,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
3,"Have to say, I hate Paris Hilton's behavior but I do think she's kinda cute..",Negative,0
4,i will love the lakers.,Positive,2
5,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",Positive,2
6,considering most Geico commericals are stupid...,Negative,0
7,"i liked MIT though, esp their little info book(",Positive,2
8,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
9,I still like Tom Cruise.,Neutral,1
10,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",Negative,0
11,i love angelina jolie.,Positive,2
12,I still like Tom Cruise.,Neutral,1
13,UCLA is beautiful.,Positive,2
14,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
15,Angelina Jolie is beautiful.,Positive,2
16,and honda's are awesome:).,Positive,2
17,I love Harvard.,Positive,2
18,i love tom cruise!..,Positive,2
19,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
20,i hate london bugs.,Negative,0
21,Way to go stupid Lakers..,Negative,0
22,london sucks....,Negative,0
23,"anyway, shanghai is really beautiful , ????????? , ??starbucks????????starbucks ~ ~!!!",Positive,2
24,"buy quite a few food to back to notts to eat la, aiiii, notts only hv 1 chinese shop in town ja, so shit, london is so GREAT!!..",Positive,2
25,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,Positive,2
26,I reallllllly hate Tom Cruise...,Negative,0
27,"To my understanding, Harvard is a very difficult college to get in to.",Negative,0
28,Boston can suck my fucking tits...,Negative,0
29,I loved Boston and MIT so much and still do.,Positive,2
30,I like honda civics!!!!!!.,Neutral,1
31,"no matter how obvious it is to me that George W Bush is an arrogant idiot liar, there are plenty of people who believe him.",Negative,0
32,I love the Los Angeles Lakers...,Positive,2
33,the stupid honda lol or a BUG!..,Positive,2
34,seattle sucks anyways.,Negative,0
35,I want a ThinkPad or something.,Neutral,1
36,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
37,My Purdue Cal friends are awesome!..,Positive,2
38,Shanghai is beautiful ~..,Positive,2
39,london sucks....,Negative,0
40,i love my new Macbook..,Positive,2
41,i love my new Macbook..,Positive,2
42,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",Positive,2
43,Awesome diner here @ Purdue...,Positive,2
44,i love my new Macbook..,Positive,2
45,"San Francisco was brilliant, Sausalito...",Positive,2
46,"As for myself, I'm wanting a new Honda Element with a prescription windshield....",Positive,2
47,"i think if i hate boston, ill just disappear to california for the summers...",Negative,0
48,I love the Toyota Prius.,Positive,2
49,seattle sucks anyways.,Negative,0
50,I love Harvard Square in the fall.,Positive,2
51,I want a tour of London on the back of that bike!,Neutral,1
52,I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
53,The Lakers are playing really awesome ball.,Positive,2
54,"It isn't over until its over though, and for now my brain is set on "" I love Harvard, I want to come to Harvard "" mode.....",Positive,2
55,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",Negative,0
56,I'm loving Shanghai > > > ^ _ ^.,Positive,2
57,harvard is for dumb people.,Negative,0
58,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",Positive,2
59,"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?..",Neutral,1
60,I love Harvard Square in the fall.,Positive,2
61,London = amazing...,Positive,2
62,I HATE LONDON!..,Negative,0
63,I love MIT so much...,Positive,2
64,I told her that UCLA is excellent for both...,Positive,2
65,I think at this moment i love San Francisco better than L. A..,Positive,2
66,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
67,I also love Boston Legal...,Positive,2
68,the stupid honda lol or a BUG!..,Positive,2
69,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",Neutral,1
70,i've decided i really miss london.,Positive,2
71,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.",Neutral,1
72,Angelina Jolie is very beautiful!!!....,Positive,2
73,"yea i love mit, and i really dk why.",Positive,2
74,oh! Traffic in Seattle sucks!,Negative,0
75,That's why I most love the Harvard story:,Positive,2
76,I love UCLA but miss everyone from back home.,Positive,2
77,PARIS HILTON SUCKS!,Negative,0
78,"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense.",Negative,0
79,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",Positive,2
80,", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm...",Negative,0
81,i love you my harvard boy..(,Positive,2
82,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",Negative,0
83,Oh my god I LOVE Pommes mit Mayo.,Positive,2
84,i love angelina jolie.,Positive,2
85,I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
86,"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
87,I love the Toyota Prius.,Positive,2
88,????that stupid BOX CAR-HONDA CRX = o = ? CRAP GAME!..,Negative,0
89,I hate Paris Hilton..,Negative,0
90,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",Positive,2
91,I need to pay Geico and a host of other bills but that is neither here nor there.,Negative,0
92,Shanghai is beautiful ~..,Positive,2
93,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",Negative,0
94,I like Honda...,Neutral,1
95,"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there...",Positive,2
96,Stupid UCLA....,Negative,0
97,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",Negative,0
98,. I'm pleased to announce that Boston sucked...,Positive,2
99,I still like Tom Cruise.,Neutral,1
100,The seattle scene is pretty amazing too....,Positive,2
101,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
102,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
103,london sucks....,Negative,0
104,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
105,"Mit humÃ¸r sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min nÃ¦se er helt tilstoppet, og mit hovede fÃ¸les tungt..",Positive,2
106,i love seattle..,Positive,2
107,"I love the London Little People, btw.",Positive,2
108,mastercard is stupid.,Negative,0
109,I hate Paris Hilton..,Negative,0
110,"Kinda want a toyota tacoma, i like them much.....",Positive,2
111,I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
112,I love MIT so much...,Positive,2
113,have an awesome time at purdue!..,Positive,2
114,"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:",Negative,0
115,Then we had stupid trivia about San Francisco and sci fi tv so we left...,Negative,0
116,I needed San Francisco but not until a month ago.,Neutral,1
117,I want a tour of London on the back of that bike!,Neutral,1
118,I really hate Tom Cruise.,Negative,0
119,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,Positive,2
120,TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
121,I hate Tom Cruise..,Negative,0
122,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
123,"Honda is excellent,'94 and up.",Positive,2
124,"Mind you, I blame the mother mit der early toilet training.",Positive,2
125,I used to love Tom Cruise.,Positive,2
126,& i adore my little honda < 3.,Positive,2
127,boston college is good too < 33.,Positive,2
128,I'd love a Toyota van..,Positive,2
129,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
130,"San Francisco is great for that, too.",Positive,2
131,I love UCLA but miss everyone from back home.,Positive,2
132,I love the Los Angeles Lakers...,Positive,2
133,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
134,i want american express to let me check into rehab..,Neutral,1
135,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,Neutral,1
136,"I like being at Purdue, not with my family.",Neutral,1
137,wow i love your aaa..,Positive,2
138,Funny that harvard was almost more stressful than MY AUDITION!,Positive,2
139,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
140,Lakers Suck ( actually Kobe Sucks...,Negative,0
141,and I still hate UCLA bankers..,Negative,0
142,AAA rocks.,Neutral,1
143,boston college is good too < 33.,Positive,2
144,yes shanghai is such an ugly place.,Negative,0
145,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa.",Positive,2
146,Seattle sucks!!,Negative,0
147,And everybody knows I love Toyota!,Positive,2
148,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.",Positive,2
149,"UCLA is a beautiful campus, and it feels great to be back in the classroom.",Positive,2
150,"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing.",Neutral,1
151,Honda's just stupid.,Negative,0
152,"I really hate London, there are very few people here, and those who are here, I never see.",Negative,0
153,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
154,We really need to competition between Visa / Mastercard to heat up enough that one of them drops their transaction fee..,Positive,2
155,Stupid UCLA....,Negative,0
156,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,Neutral,1
157,i need clothes before i look stupid @ lakers....,Negative,0
158,i love seattle so much.,Positive,2
159,"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
160,I had to tape because my mom had to watch her stupid Boston Legal and its a new TV / VCR so I was taping the wrong channel.,Negative,0
161,GEICO is a GREAT ride.,Positive,2
162,i do i love angelina jolie!..,Positive,2
163,I love Angelina Jolie.,Positive,2
164,"San Francisco Coffee rocks, yo!",Neutral,1
165,Shanghai is boring..,Negative,0
166,the fact that i love paris hilton or like the color pink...,Positive,2
167,I love geico commercials.,Positive,2
168,Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
169,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
170,Purdue Band sucks.,Negative,0
171,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",Positive,2
