Text,Sentiment,Sentiment_label
""" I don't care what anyone says, I like Hillary Clinton.",Neutral,1
have an awesome time at purdue!..,Positive,2
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
"Have to say, I hate Paris Hilton's behavior but I do think she's kinda cute..",Negative,0
i will love the lakers.,Positive,2
"I'm so glad I love Paris Hilton, too, or this would be excruciating.",Positive,2
considering most Geico commericals are stupid...,Negative,0
"i liked MIT though, esp their little info book(",Positive,2
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
I still like Tom Cruise.,Neutral,1
"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",Negative,0
i love angelina jolie.,Positive,2
I still like Tom Cruise.,Neutral,1
UCLA is beautiful.,Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
Angelina Jolie is beautiful.,Positive,2
and honda's are awesome:).,Positive,2
I love Harvard.,Positive,2
i love tom cruise!..,Positive,2
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
i hate london bugs.,Negative,0
Way to go stupid Lakers..,Negative,0
london sucks....,Negative,0
"anyway, shanghai is really beautiful , ????????? , ??starbucks????????starbucks ~ ~!!!",Positive,2
"buy quite a few food to back to notts to eat la, aiiii, notts only hv 1 chinese shop in town ja, so shit, london is so GREAT!!..",Positive,2
angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,Positive,2
I reallllllly hate Tom Cruise...,Negative,0
"To my understanding, Harvard is a very difficult college to get in to.",Negative,0
Boston can suck my fucking tits...,Negative,0
I loved Boston and MIT so much and still do.,Positive,2
I like honda civics!!!!!!.,Neutral,1
"no matter how obvious it is to me that George W Bush is an arrogant idiot liar, there are plenty of people who believe him.",Negative,0
I love the Los Angeles Lakers...,Positive,2
the stupid honda lol or a BUG!..,Positive,2
seattle sucks anyways.,Negative,0
I want a ThinkPad or something.,Neutral,1
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
My Purdue Cal friends are awesome!..,Positive,2
Shanghai is beautiful ~..,Positive,2
london sucks....,Negative,0
i love my new Macbook..,Positive,2
i love my new Macbook..,Positive,2
"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",Positive,2
Awesome diner here @ Purdue...,Positive,2
i love my new Macbook..,Positive,2
"San Francisco was brilliant, Sausalito...",Positive,2
"As for myself, I'm wanting a new Honda Element with a prescription windshield....",Positive,2
"i think if i hate boston, ill just disappear to california for the summers...",Negative,0
I love the Toyota Prius.,Positive,2
seattle sucks anyways.,Negative,0
I love Harvard Square in the fall.,Positive,2
I want a tour of London on the back of that bike!,Neutral,1
I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
The Lakers are playing really awesome ball.,Positive,2
"It isn't over until its over though, and for now my brain is set on "" I love Harvard, I want to come to Harvard "" mode.....",Positive,2
"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",Negative,0
I'm loving Shanghai > > > ^ _ ^.,Positive,2
harvard is for dumb people.,Negative,0
"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",Positive,2
"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?..",Neutral,1
I love Harvard Square in the fall.,Positive,2
London = amazing...,Positive,2
I HATE LONDON!..,Negative,0
I love MIT so much...,Positive,2
I told her that UCLA is excellent for both...,Positive,2
I think at this moment i love San Francisco better than L. A..,Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
I also love Boston Legal...,Positive,2
the stupid honda lol or a BUG!..,Positive,2
"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",Neutral,1
i've decided i really miss london.,Positive,2
"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.",Neutral,1
Angelina Jolie is very beautiful!!!....,Positive,2
"yea i love mit, and i really dk why.",Positive,2
oh! Traffic in Seattle sucks!,Negative,0
That's why I most love the Harvard story:,Positive,2
I love UCLA but miss everyone from back home.,Positive,2
PARIS HILTON SUCKS!,Negative,0
"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense.",Negative,0
"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",Positive,2
", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm...",Negative,0
i love you my harvard boy..(,Positive,2
"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",Negative,0
Oh my god I LOVE Pommes mit Mayo.,Positive,2
i love angelina jolie.,Positive,2
I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
I love the Toyota Prius.,Positive,2
????that stupid BOX CAR-HONDA CRX = o = ? CRAP GAME!..,Negative,0
I hate Paris Hilton..,Negative,0
"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",Positive,2
I need to pay Geico and a host of other bills but that is neither here nor there.,Negative,0
Shanghai is beautiful ~..,Positive,2
"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",Negative,0
I like Honda...,Neutral,1
"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there...",Positive,2
Stupid UCLA....,Negative,0
"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",Negative,0
. I'm pleased to announce that Boston sucked...,Positive,2
I still like Tom Cruise.,Neutral,1
The seattle scene is pretty amazing too....,Positive,2
